Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles
2017-01-21,"Memphis, TN",5700,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.memphisflyer.com/NewsBlog/archives/2017/01/21/thousands-join-memphis-womens-march,1
2017-01-21,"Poughkeepsie, NY",5672,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.poughkeepsiejournal.com/story/news/local/2017/01/21/womens-march-walkway-poughkeepsie-trump/96877094/,1
2017-01-21,"Bellingham, WA",5450,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.bellinghamherald.com/news/local/article127919919.html,1
2017-01-21,"Fort Worth, TX",5450,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.star-telegram.com/news/local/community/fort-worth/article127933534.html,1
2017-01-21,"Champaign, IL",5360,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.news-gazette.com/news/local/2017-01-21/womens-march-champaign.html,1
2017-01-21,"Honolulu (Oahu), HI",5250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kitv.com/story/34314442/close-to-8000-come-out-to-womens-march-in-honolulu,1
2017-01-21,"Orlando, FL",5250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.clickorlando.com/news/all-walks-of-life-to-participate-in-central-florida-womens-rally-washington-march,1
2017-01-21,"Baltimore, MD",5000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://baltimore.cbslocal.com/2017/01/21/womens-march-protests-held-right-here-in-baltimore/,1
2017-01-21,"Boise, ID",5000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.idahostatesman.com/news/local/article127913309.html,2
2017-01-21,"Louisville, KY",5000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.wlky.com/article/march-held-in-louisville-in-conjunction-with-womens-march-on-washington/8624803,1
2017-01-21,"Santa Rosa, CA",5000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.petaluma360.com/news/6578816-181/womens-march-draws-thousands-to?artslide=0,1
2017-01-21,"Stamford, CT",5000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.stamfordadvocate.com/local/article/Thousands-attend-Women-s-March-in-Stamford-10873898.php,1
2017-01-21,"Concord, NH",4900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.concordmonitor.com/Granite-Staters-rally-in-Concord-after-the-inauguration-7601158,1
2017-01-21,"Grand Junction, CO",4725,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.gjsentinel.com/news/articles/weve-got-to-get-out-of-our-comfort-areas-one-parti,1
2017-01-21,"Greensboro, NC",4350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://myfox8.com/2017/01/21/2800-people-attend-womens-march-in-greensboro/,1
